0,2
1,1
2,52
3,5
4,1
5,14
6,5
7,4
8,27
9,50
10,8
11,7
12,12
13,7
14,20
15,15
16,10
17,10
18,5
19,1
20,1
21,6
22,7
23,1
24,13
25,20
26,1
27,1
28,6
29,3
30,44
31,182
32,4
33,26
34,1
35,2
36,11
37,6
38,223
39,2
40,46
41,105
42,26
43,8
44,14
45,26
46,42
47,31
48,310
49,22
50,28
51,73
52,19
53,34
54,56
55,58
56,30
57,56
58,6
59,8
60,5
61,23
62,33
63,243
64,20
65,25
66,7
67,32
68,6
69,14
70,48
71,6
72,15
73,8
74,16
75,110
76,36
77,5
78,10
79,13
80,2
81,1
82,43
83,5
84,7
85,20
86,41
87,39
88,36
89,8
90,39
91,1
92,16
93,2
94,1
95,1
96,1
97,2
98,2
99,66
100,1
101,5
102,1
103,1
104,10
105,1
106,133
107,32
108,61
109,32
110,136
111,29
112,25
113,314
114,86
115,1
116,64
117,24
118,52
119,13
120,47
121,70
122,13
123,35
124,16
125,2415
126,5
127,60
128,6
129,18
130,20
131,3
132,13
133,22
134,193
135,182
136,96
137,15
138,8
139,2
140,10
141,13
142,12
143,21
144,1
145,28
146,15
147,18
148,3
149,4
150,1
151,3
152,1
153,1
154,13
155,13
156,3
157,3
158,36
159,7
160,9
161,1
162,19
163,7
164,42
165,1
166,3
167,2
168,14
169,44
170,13
171,28
172,6
173,1
174,5
175,1
176,1
177,6
178,6
179,52
180,10
181,3
182,44
183,1
184,5
185,10
186,7
187,1
188,18
189,1
190,1
191,1
192,1
193,14
194,1
195,3
196,8
197,1
198,1
199,1
200,9
201,1
202,2
203,3
204,11
205,5
206,24
207,8
208,5
209,11
210,4
211,13
212,5
213,7
214,17
215,13
216,10
217,16
218,56
219,13
220,3
221,2
222,10
223,2
224,3
225,1
226,11
227,17
228,4
229,13
230,7
231,2
232,15
233,28
234,12
235,11
236,2
237,10
238,9
239,739
240,371
241,79
242,2
243,18
244,18
245,118
246,229
247,11
248,34
249,13
250,45
251,297
252,263
253,29
254,82
255,14
256,286
257,168
258,35
259,4
260,2
261,15
262,356
263,88
264,115
265,31
266,21
267,14
268,73
269,4
270,6
271,5
272,6
273,79
274,3
275,2
276,17
277,41
278,103
279,47
280,25
281,46
282,1
283,12
284,4
285,6
286,7
287,1
288,49
289,4
290,5
291,157
292,3
293,74
294,17
295,5
296,14
297,26
298,1
299,1
300,34
301,4
302,8
303,61
304,2
305,19
306,42
307,1
308,11
309,4
310,9
311,23
312,19
313,3
314,11
315,6
316,5
317,1
318,1
319,20
320,23
321,20
322,3
323,1
324,7
325,16
326,6
327,37
328,2
329,2
330,21
331,37
332,68
333,16
334,6
335,16
336,29
337,15
338,16
339,87
340,562
341,319
342,26
343,193
344,3
345,7
346,96
347,25
348,97
349,144
350,9
351,310
352,25
353,7
354,5
355,27
356,424
357,60
358,268
359,35
360,34
361,11
362,108
363,67
364,134
365,7
366,144
367,78
368,21
369,102
370,178
371,663
372,10
373,30
374,14
375,22
376,132
377,8
378,8
379,27
380,208
381,12
382,12
383,2
384,26
385,4
386,15
387,24
388,530
389,30
390,23
391,25
392,8
393,14
394,13
395,5
396,1
397,22
398,68
399,3
400,28
401,11
402,73
403,14
404,18
405,1
406,13
407,2
408,1659
409,26
410,68
411,5
412,82
413,17
414,27
415,44
416,113
417,507
418,4
419,9
420,21
421,16
422,58
423,102
424,16
425,12
426,13
427,36
428,1
429,120
430,79
431,76
432,19
433,60
434,4
435,4
436,5
437,16
438,9
439,20
440,84
441,8
442,5
443,8
444,6
445,42
446,4
447,7
448,23
449,3
450,8
451,14
452,97
453,2
454,4
455,97
456,1
457,3
458,9
459,3
460,30
461,9
462,9
463,12
464,1
465,6
466,21
467,38
468,6
469,6
470,11
471,82
472,1
473,3
474,20
475,19
476,7
477,8
478,9
479,20
480,5
481,32
482,5
483,10
484,2
485,6
486,28
487,55
488,26
489,14
490,21
491,45
492,3
493,62
494,3
495,16
496,2
497,1
498,255
499,55
500,24
501,77
502,136
503,146
504,14
505,64
506,41
507,12
508,60
509,27
510,15
511,12
512,3
513,2
514,872
515,23
516,9
517,10
518,335
519,50
520,9
521,2
522,9
523,7
524,14
525,7
526,148
527,44
528,12
529,6
530,22
531,3
532,163
533,7
534,9
535,126
536,4
537,50
538,2
539,9
540,32
541,7
542,35
543,35
544,24
545,31
546,2
547,3
548,10
549,8
550,42
551,8
552,10
553,159
554,2
555,28
556,189
557,68
558,4
559,3
560,14
561,2
562,2
563,10
564,4
565,9
566,51
567,6
568,28
569,4
570,2
571,16
572,13
573,4
574,15
575,9
576,4
577,1
578,10
579,12
580,5
581,1
582,61
583,26
584,31
585,3
586,5
587,1
588,12
589,6
590,9
591,8
592,25
593,35
594,31
595,1
596,4
597,10
598,3
599,33
600,10
601,3
602,3
603,23
604,31
605,18
606,3
607,1
608,2
609,2
610,1
611,1
612,13
613,6
614,4
615,5
616,6
617,2
618,17
619,18
620,2
621,3
622,4
623,2
624,149
625,53
626,2
627,7
628,217
629,13
630,935
631,106
632,225
633,46
634,1
635,3
636,1
637,4
638,63
639,35
640,1
641,11
642,8
643,1
644,7
645,3
646,43
647,23
648,3
649,52
650,2
651,7
652,2
653,24
654,80
655,13
656,16
657,14
658,10
659,33
660,21
661,74
662,39
663,10
664,15
665,5
666,22
667,49
668,3
669,6
670,11
671,18
672,6
673,4
674,1
675,3
676,5
677,1
678,3
679,3
680,4
681,265
682,54
683,93
684,26
685,5
686,3
687,32
688,1
689,5
690,9
691,9
692,1
693,28
694,7
695,6
696,21
697,11
698,14
699,11
700,4
701,3
